"competicion","week","date","match_id","personId","firstName","lastName","player","team","player_id","uniformNumber","isCaptain","CB","AS","BS","BSR","DR","OR","REB","FD","FG2A","FG2M","FG2P","FG3A","FG3M","FG3P","FGA","FGM","FGP","FTA","FTM","FTP","FGIA","FGIM","FGIP","PF","PTS","ST","TO","TP","PM","EFF","Starter","HasPlayed","equipo","op_equipo"
"FIBA Europe Cup",39,2025-09-24,128681,"239392","James","Frazier Jr","James Frazier Jr","A","P_239392","0",FALSE,FALSE,10,0,0,4,1,5,4,8,4,50,2,0,0,10,4,40,7,7,100,4,1,25,3,15,3,2,"32:47",16,25,TRUE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"221960","Aubrey Detroy","Mcalpine","Aubrey Detroy Mcalpine","A","P_221960","1",TRUE,FALSE,1,0,0,0,0,0,2,4,1,25,6,3,50,10,4,40,0,0,0,1,0,0,3,11,2,0,"25:42",7,8,TRUE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"369566","Azar","Ibrahimov","Azar Ibrahimov","A","P_369566","11",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"156153","Gediminas","Orelik","Gediminas Orelik","A","P_156153","17",FALSE,FALSE,5,0,0,1,4,5,2,6,3,50,8,1,12.5,14,4,28.6,0,0,0,6,3,50,2,9,2,1,"30:20",23,10,TRUE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"343499","Ismayil","Abdullayev","Ismayil Abdullayev","A","P_343499","2",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1:23",-4,-1,FALSE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"198338","Rustam","Aliyev","Rustam Aliyev","A","P_198338","21",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"334195","Arinze Thomas","Chidom","Arinze Thomas Chidom","A","P_334195","22",FALSE,FALSE,0,1,0,4,2,6,0,3,2,66.7,2,1,50,5,3,60,0,0,0,2,2,100,2,7,0,1,"28:56",14,11,FALSE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"374168","De'Sean Leighton Allen","Eikens","De'Sean Leighton Allen Eikens","A","P_374168","25",FALSE,FALSE,1,0,0,1,0,1,3,8,5,62.5,1,1,100,9,6,66.7,3,2,66.7,7,5,71.4,3,15,0,0,"17:2",2,13,TRUE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"304182","De'Ondre","Jackson","De'Ondre Jackson","A","P_304182","5",FALSE,FALSE,0,1,0,2,3,5,1,8,3,37.5,4,1,25,12,4,33.3,2,2,100,8,3,37.5,2,11,1,4,"23:49",6,6,FALSE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"350875","Jalen Amaniah","Shaw","Jalen Amaniah Shaw","A","P_350875","7",FALSE,FALSE,1,0,0,9,3,12,2,3,1,33.3,2,0,0,5,1,20,4,3,75,3,1,33.3,3,5,1,2,"17:48",4,12,FALSE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"224817","Saadettin","Donat","Saadettin Donat","A","P_224817","77",FALSE,FALSE,2,0,0,4,6,10,5,9,6,66.7,0,0,0,9,6,66.7,5,4,80,9,6,66.7,3,16,0,1,"22:12",12,23,TRUE,TRUE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"217299","Nijat","Mammadli","Nijat Mammadli","A","P_217299","8",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Absheron Lions","Anorthosis Famagusta"
"FIBA Europe Cup",39,2025-09-24,128681,"363510","Nigel","Hawkins","Nigel Hawkins","B","P_363510","1",FALSE,FALSE,4,0,0,1,1,2,2,5,2,40,4,2,50,9,4,44.4,2,2,100,4,1,25,2,12,2,4,"22:10",-16,11,TRUE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"227811","Ludvig","Johansson","Ludvig Johansson","B","P_227811","10",FALSE,FALSE,2,0,0,0,0,0,0,2,1,50,1,1,100,3,2,66.7,0,0,0,2,1,50,3,5,1,1,"14:28",-16,6,TRUE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"351141","Artemos","Tompazos","Artemos Tompazos","B","P_351141","11",FALSE,FALSE,1,0,0,0,0,0,2,2,0,0,5,2,40,7,2,28.6,1,1,100,1,0,0,0,7,1,1,"17:23",6,3,FALSE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"322792","Savvas","Ioannidis","Savvas Ioannidis","B","P_322792","12",FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0:0",0,0,FALSE,FALSE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"373425","Kuany Atem","Kuany","Kuany Atem Kuany","B","P_373425","13",FALSE,FALSE,0,1,0,4,2,6,5,3,1,33.3,6,2,33.3,9,3,33.3,4,1,25,1,0,0,4,9,1,3,"27:5",-3,5,TRUE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"169330","Kyprianos","Maragkos","Kyprianos Maragkos","B","P_169330","14",FALSE,FALSE,0,0,0,3,0,3,4,2,1,50,3,1,33.3,5,2,40,8,5,62.5,2,1,50,2,10,0,1,"23:21",-19,6,TRUE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"256497","JoJo","Garcia","JoJo Garcia","B","P_256497","15",FALSE,FALSE,1,0,0,4,1,5,2,1,0,0,2,1,50,3,1,33.3,0,0,0,1,0,0,2,3,0,2,"25:41",6,5,FALSE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"265317","Zayd","Muosa","Zayd Muosa","B","P_265317","20",FALSE,FALSE,0,0,0,0,0,0,1,3,1,33.3,1,0,0,4,1,25,2,2,100,3,1,33.3,1,4,0,1,"10:40",-20,0,FALSE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"238619","Andreas","Himonas","Andreas Himonas","B","P_238619","30",FALSE,FALSE,3,0,0,4,0,4,1,2,1,50,5,1,20,7,2,28.6,0,0,0,1,1,100,2,5,2,1,"16:43",-4,8,FALSE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"398535","Tanner","Christensen","Tanner Christensen","B","P_398535","32",FALSE,FALSE,0,2,0,0,3,3,1,8,5,62.5,2,1,50,10,6,60,0,0,0,8,5,62.5,2,13,0,0,"25:52",3,14,FALSE,TRUE,"Anorthosis Famagusta","Absheron Lions"
"FIBA Europe Cup",39,2025-09-24,128681,"198226","Rafail","Eleftheriou","Rafail Eleftheriou","B","P_198226","4",TRUE,FALSE,3,1,0,2,1,3,3,2,1,50,2,1,50,4,2,50,0,0,0,2,1,50,2,5,0,0,"16:37",-17,10,TRUE,TRUE,"Anorthosis Famagusta","Absheron Lions"
