jornada,gamecode,date,semana
1,6,2025-10-02T18:30:00Z,40
1,7,2025-10-01T18:00:00Z,40
1,9,2025-10-01T16:30:00Z,40
1,5,2025-10-01T16:30:00Z,40
1,10,2025-10-01T16:00:00Z,40
1,2,2025-10-01T16:00:00Z,40
1,3,2025-09-30T18:00:00Z,40
1,4,2025-09-30T17:30:00Z,40
1,1,2025-09-30T17:00:00Z,40
1,8,2025-09-30T16:00:00Z,40
2,11,2025-10-08T18:45:00Z,41
2,12,2025-10-08T18:00:00Z,41
2,20,2025-10-08T18:00:00Z,41
2,19,2025-10-08T17:30:00Z,41
2,17,2025-10-08T17:00:00Z,41
2,13,2025-10-08T17:00:00Z,41
2,14,2025-10-08T16:00:00Z,41
2,18,2025-10-07T17:00:00Z,41
2,16,2025-10-07T17:00:00Z,41
2,15,2025-10-07T16:00:00Z,41
3,26,2025-10-16T18:30:00Z,42
3,25,2025-10-15T18:45:00Z,42
3,22,2025-10-15T18:00:00Z,42
3,30,2025-10-15T17:00:00Z,42
3,21,2025-10-15T17:00:00Z,42
3,28,2025-10-15T16:30:00Z,42
3,29,2025-10-15T16:00:00Z,42
3,23,2025-10-14T17:30:00Z,42
3,24,2025-10-14T16:30:00Z,42
3,27,2025-10-14T16:00:00Z,42
4,40,2025-10-22T18:00:00Z,43
4,38,2025-10-22T17:30:00Z,43
4,39,2025-10-22T17:00:00Z,43
4,36,2025-10-22T17:00:00Z,43
4,35,2025-10-22T16:00:00Z,43
4,33,2025-10-22T16:00:00Z,43
4,31,2025-10-21T18:00:00Z,43
4,37,2025-10-21T17:00:00Z,43
4,32,2025-10-21T17:00:00Z,43
4,34,2025-10-21T16:00:00Z,43
5,44,2025-10-29T19:45:00Z,44
5,46,2025-10-29T19:30:00Z,44
5,43,2025-10-29T18:30:00Z,44
5,50,2025-10-29T18:00:00Z,44
5,41,2025-10-29T18:00:00Z,44
5,48,2025-10-29T17:00:00Z,44
5,49,2025-10-29T16:00:00Z,44
5,45,2025-10-28T19:00:00Z,44
5,42,2025-10-28T18:30:00Z,44
5,47,2025-10-28T17:30:00Z,44
6,55,2025-11-05T19:00:00Z,45
6,56,2025-11-05T18:00:00Z,45
6,51,2025-11-05T18:00:00Z,45
6,54,2025-11-05T17:00:00Z,45
6,53,2025-11-05T17:00:00Z,45
6,52,2025-11-05T17:00:00Z,45
6,59,2025-11-04T19:00:00Z,45
6,57,2025-11-04T18:30:00Z,45
6,58,2025-11-04T18:00:00Z,45
6,60,2025-11-04T16:00:00Z,45
7,66,2025-11-12T19:30:00Z,46
7,69,2025-11-12T18:00:00Z,46
7,67,2025-11-12T17:45:00Z,46
7,62,2025-11-12T17:30:00Z,46
7,68,2025-11-12T17:00:00Z,46
7,63,2025-11-12T17:00:00Z,46
7,64,2025-11-11T19:30:00Z,46
7,70,2025-11-11T18:00:00Z,46
7,65,2025-11-11T18:00:00Z,46
7,61,2025-11-11T18:00:00Z,46
8,76,2025-11-19T19:30:00Z,47
8,74,2025-11-19T19:00:00Z,47
8,80,2025-11-19T17:30:00Z,47
8,75,2025-11-19T17:30:00Z,47
8,79,2025-11-19T16:00:00Z,47
8,78,2025-11-18T19:00:00Z,47
8,77,2025-11-18T18:00:00Z,47
8,71,2025-11-18T18:00:00Z,47
8,73,2025-11-18T17:00:00Z,47
8,72,2025-11-18T17:00:00Z,47
9,82,2025-12-05T19:45:00Z,49
9,90,2025-12-05T18:30:00Z,49
9,87,2025-12-05T17:00:00Z,49
9,83,2025-12-04T19:00:00Z,49
9,89,2025-12-04T18:00:00Z,49
9,88,2025-12-04T18:00:00Z,49
9,86,2025-12-04T18:00:00Z,49
9,84,2025-12-04T18:00:00Z,49
9,81,2025-12-04T17:30:00Z,49
9,85,2025-12-04T16:00:00Z,49
10,95,2025-12-10T19:45:00Z,50
10,98,2025-12-10T18:00:00Z,50
10,96,2025-12-10T18:00:00Z,50
10,93,2025-12-10T18:00:00Z,50
10,91,2025-12-10T17:00:00Z,50
10,92,2025-12-10T16:00:00Z,50
10,97,2025-12-09T18:30:00Z,50
10,94,2025-12-09T18:00:00Z,50
10,99,2025-12-09T18:00:00Z,50
10,100,2025-12-09T17:00:00Z,50
11,106,2025-12-17T19:30:00Z,51
11,104,2025-12-17T19:00:00Z,51
11,103,2025-12-17T18:30:00Z,51
11,101,2025-12-17T18:00:00Z,51
11,108,2025-12-17T17:30:00Z,51
11,109,2025-12-17T16:00:00Z,51
11,105,2025-12-17T16:00:00Z,51
11,110,2025-12-16T19:00:00Z,51
11,102,2025-12-16T17:30:00Z,51
11,107,2025-12-16T17:00:00Z,51
12,119,2026-01-02T18:00:00Z,1
12,112,2026-01-02T16:00:00Z,1
12,116,2025-12-30T19:00:00Z,1
12,114,2025-12-30T18:30:00Z,1
12,117,2025-12-30T18:00:00Z,1
12,115,2025-12-30T18:00:00Z,1
12,118,2025-12-30T17:15:00Z,1
12,111,2025-12-30T17:00:00Z,1
12,113,2025-12-30T16:00:00Z,1
12,120,2025-12-23T18:00:00Z,52
13,126,2026-01-07T19:30:00Z,2
13,125,2026-01-07T19:00:00Z,2
13,124,2026-01-07T18:45:00Z,2
13,121,2026-01-07T18:00:00Z,2
13,129,2026-01-07T17:30:00Z,2
13,128,2026-01-07T17:00:00Z,2
13,130,2026-01-07T16:00:00Z,2
13,122,2026-01-06T18:00:00Z,2
13,123,2026-01-06T18:00:00Z,2
13,127,2026-01-06T17:00:00Z,2
14,131,2026-01-14T19:00:00Z,3
14,139,2026-01-14T18:30:00Z,3
14,140,2026-01-14T18:00:00Z,3
14,138,2026-01-14T18:00:00Z,3
14,135,2026-01-14T18:00:00Z,3
14,136,2026-01-14T16:00:00Z,3
14,137,2026-01-13T19:00:00Z,3
14,133,2026-01-13T17:00:00Z,3
14,132,2026-01-13T17:00:00Z,3
14,134,2026-01-13T16:00:00Z,3
